,Serial,Link,Address,Question,Answer Summary,Full Answer
700,2202,https://islamqa.info/en/answers/2202,The Prophet’s dream about marrying ‘Aa’ishah,"Question

                In reply to a question regarding marriage
      of prophet Mohammad (
), I was given to understand that prophet Mohammad had a dream in
      which he saw that he got married with hazrat Aisah who was only 6-7 year old at that time.
      Consequently, he discussed this with hazrat Aisha. In other word this marriage was
      arranged by Allah himself. If so, we have a logical answer to satisfy critics that it was
      ordered by Allah. However, in support of that there must be an athentic hadith or a verse
      in the Qur'an.I will appreciate if you can provide me info regarding this issue.",,"Praise be to Allah.The hadeeth to which you refer was reported by Imaam al-Bukhaari (may
    Allaah have mercy on him) in his Saheeh from Aaishah (may Allaah be
    pleased with her), who said that the Prophet 
 (peace and blessings of Allaah be upon him)
    said to her: You were shown to me twice in a dream. I saw you in a piece of silk
    (i.e., he saw her image on a piece of silk, or he saw her wearing a silken garment). I was
    told, This is your wife, so unveil her, and it was you. I said: if this dream
    is from Allaah then it will come to pass. (Saheeh al-Bukhaari,
    3606).
    In his commentary on this hadeeth, Ibn Hajar (may Allaah
    have mercy on him) said: This dream came after his mission had started, and it was a
    wahy (revelation) that had implications in real life. (Its implication was that he did
    indeed marry her later on). His words and it was you indicate that he had seen
    her before and knew what she looked like. (See Fath al-Baari)
There is nothing in the hadeeth to indicate that his marriage to
    Aaishah was as a result of that dream. The Prophet 
 (peace and blessings of
    Allaah be upon him) asked her father for her hand in marriage, and her father Abu Bakr
    gave her in marriage, in the usual fashion, as is indicated in the following hadeeth:
 Urwah reported that the Prophet 
 (peace and blessings of
    Allaah be upon him) asked Abu Bakr for Aaishahs hand in marriage, and
    Abu Bakr said to him: But I am your brother. He said: You are my brother
    according to the religion and Book of Allaah (i.e., my brother in Islam), and she is
    permissible for me (to marry). (Bukhaari, 4691).
In his commentary Ibn Hajar (may Allaah have mercy on him) said:
    Ibn Abi Aasim reported via Yahyaa ibn Abd al-Rahmaan ibn Haatib from
    Aaishah that the Prophet 
 (peace and blessings of Allaah be upon him) sent
    Khawlah bint Hakeem to Abu Bakr to ask for Aaishahs hand in marriage.
    Abu Bakr asked her, Is she right for him? Because she is the daughter of my
    brother. Khawlah went back and mentioned this to the Prophet 
 (peace and blessings
    of Allaah be upon him). He told her: Go back and tell him: You are my brother
    in Islam, and your daughter is right for me. She went back to Abu Bakr and
    told him, and he said: Call the Messenger of Allaah 
 (peace and blessings of Allaah
    be upon him). So he came and the marriage was performed.
The phrase You are my brother according to the religion and Book
    of Allaah (i.e., my brother in Islam) was referring to the aayah (interpretation of
    the meaning): The believers are nothing else than brothers (in Islamic
    religion) [al-Hujuraat 49:10] and other similar aayaat. The phrase
    she is permissible for me (to marry) means it is permissible to marry her even
    though she is the brothers daughter, because the kind of brotherhood that would
    prevent such a marriage is the brotherhood of descent (same parent) or of radaaah
    (by being breastfed in infancy by the same woman), not the brotherhood of faith.
As regards the woman to whom the Prophets marriage was arranged
    in heaven, as it were, by Allaah, and not in the customary fashion, this was Zaynab bint
    Jahsh (may Allaah be pleased with her), as is indicated by the hadeeth of Anas (may Allaah
    be pleased with him), who said: Zaynab used to boast (to her co-wives) about how she
    had got married to the Prophet 
 (peace and blessings of Allaah be upon him), saying:
    Your families arranged your marriages but Allaah arranged my marriage from above the
    seven heavens. (al-Bukhaari, 6870). No other wife except Zaynab was married to
    the Prophet 
 (peace and blessings of Allaah be upon him) in such a unique fashion;
    Aaishahs marriage was arranged as described in the reports quoted above.
    May Allaah reward you with good for your question. And Allaah knows best."
701,2209,https://islamqa.info/en/answers/2209,Is saying “Sadaqa Allaahu al-‘Azeem ”    after reciting from Qur’an bid’ah?,"Question

Is saying Sadaqaallahu Al Azim after reciting or quoting from the Qur'an an innovation, and if it is, how was it introduced?",,"Praise be to Allah.Many people have the habit of ending a recitation from the Quraan with the words Sadaqa Allaahu al-Azeem (Almighty Allaah has spoken the truth), but this has no basis in Islam because the Prophet (peace and blessings of Allaah be upon him) did not do it, nor was it the custom of the Sahaabah (may Allaah be pleased with them), and it was unknown among the Taabieen (the generation after the Sahaabah). This custom arose in later times because some reciters would say these words, on the basis of the aayah: Say: Allaah has spoken the truth [Aal Imraan 3:95 interpretation of the meaning], and people liked this. But this istihsaan (being liked) should be rejected, because if this was really something good, the Prophet (peace and blessings of Allaah be upon him), the Sahaabah and the Taabieen the salaf or first and best generations of the ummah would not have neglected to do it.
The aayah Say: Allaah has spoken the truth (Aal Imraan 3:95 interpretation of the meaning) does not mean that these words should be said at the end of any reading or recitation. If that were the case, He would have said, When you finish reading, say Allaah has spoken the truth, just as He said (interpretation of the meaning): So when you want to recite the Quraan, seek refuge with Allaah from Shaytaan (Satan), the outcast (the cursed one). [al-Nahl 16:98]
The aayah which the innovators use to support their practice of saying Sadaqa Allaah after reciting Quraan was actually revealed in the context of confirming what was said about how all food had been lawful to Bani Israeel except what Israeel had made unlawful for himself. Allaah said (interpretation of the meaning): Say (O Muhammad): Bring here the Tawraat (Torah) and recite it, if you are truthful. Then, after that, whosoever shall invent a lie against Allaah, such shall indeed be the zaalimoon (disbelievers). Say (O Muhammad), Allaah has spoken the truth; follow the religion of Ibraaheem (Islamic monotheism, i.e., he used to worship Allaah alone), and he was not of al-mushrikeen (polytheists). [Aal Imraan 3:93-95]
If this aayah meant that these words should be said after reciting from the Quraan, the first one to know and do this would have been the Messenger of Allaah (peace and blessings of Allaah be upon him). Because this is not the case, we know that this is not what was meant.
In conclusion, therefore, saying Sadaqa Allaahu al-Azeem after reciting Quraan is an innovation, and the Muslim should not say it.
But believing that Allaah has spoken the truth is obligatory, and whoever disbelieves or doubts the truth of what Allaah has said is a kaafir who is outside of the pale of Islam. We seek refuge with Allaah from that.
If a person says Allaah has spoken the truth on certain occasions, such as when something He has foretold comes to pass, affirming the truth of what He has said, then this is permissible, because something similar has been reported in the Sunnah. The Prophet (peace and blessings of Allaah be upon him) was giving a speech, and al-Hasan and al-Husayn came along, so he came down from the minbar, picked them up and put them in from of him, then he said: Indeed Allaah has spoken the truth: Your wealth and your children are only a trial [al-Taghaabun 64:15 interpretation of the meaning]."
702,2213,https://islamqa.info/en/answers/2213,Permanent hair removal,"Question

                This is another question about hair removal, please forgive me if it seems  trivial. There are procedures for permanent removal of hair. Are these permissible for a woman or is it considered changing Allah's creation like plastic surgery? Because the hair will never grow back after this type of procedure.",,"Praise be to Allah.There is nothing wrong with using any method of removing the hair which
    we are commanded to remove (such as pubic hair and armpit hair) or the hair which we are
    permitted to remove (such as hair on the arms or legs), so long as the method used is not
    harmful  even if it means that the hair will not grow back again.
And Allaah knows best."
703,2216,https://islamqa.info/en/answers/2216,"Should he give up the idea of specializing in
    Pharmacy for fear of selling haraam products in the future?","Question

                Assalamu Alaikum.
    I'm a Biology major student, and am thinking about being a Pharmacist.
      However, I thought about the limitation in practicing pharmacy as a muslim because a
      pharmacist sells drugs that might contain alcohol in it or the drug itself (for example,
      contraceptive pills or others) might be doubtful. In such a situation, I would like to
      know which will be better for me: continue or quitting? May Allah reward you.",,"Praise be to Allah.Now is the appropriate time for you to
    be thinking of your future, for this will lead you to take decisive action from now. If
    you know for sure that you can avoid selling everything that is forbidden in sharee'ah,
    then there is nothing wrong with continuing your studies. But if you know that you will
    not be able to avoid it, or you believe it is more likely that you will be too weak to
    avoid it, then you should change to another specialty from now, so that you will be able
    to practice a profession that will be acceptable to Allaah. Alternatively, if you see that
    there are impediments to practicing your specialty due to the involvement of forbidden
    items, you could take the initiative and commitment to finding permissible alternatives,
    whether natural or synthetic, to the forbidden items. The important thing is to ensure you
    will not put yourself in a position where you are involved in the sale, receiving, or
    giving of items that are haraam. 
Some of the issues having to do with medicine need to be
    contemplated; for example, if a medicine contains alcohol and would intoxicate a person if
    a large amount was drunk (i.e. of the medicine itself), then it is haraam; otherwise it is
    not haraam. Similarly there are questions surrounding the impurities that form the
    ingredients of some medicines: is the structure of the impure substance changed in
    totality when it is mixed with the other ingredients, or does it remain the same? Surely
    you are not unaware that there are medicines taken from the urine of pregnant women, or
    blood, or from body parts removed from humans, such as placentas, to which the rulings
    concerning dead meat apply. The rulings governing all of these things need to be
    investigated, and consequently the rulings regarding their sale; the matter needs to be
    studied both from the point of view of Islamic Sharee'ah and of chemical analysis.
And Allaah knows best."
704,2217,https://islamqa.info/en/answers/2217,How to Pray Istikharah,"Question

How do I pray salat al istikharah, and at what times? Are there special du’as that I can read for different circumstances?","This is how to pray istikharah:
1.	Make wudu (ablution)
2.	Offer two rak’ahs of sunnah prayer
3.	Make the du’a mentioned in the detailed answer below.","Praise be to Allah.How to pray Istikharah
The description of Salat al-Istikharah (istikharah prayer) was reported by Jabir ibn ‘Abd-Allah al-Salami (may Allah be pleased with him) who said:
The Messenger of Allah (peace and blessings of Allah be upon him) used to teach his Companions to make istikharah in all things, just as he used to teach them surahs from the Quran. He said: If any one of you is concerned about a decision he has to make, then let him pray two rak’ahs of non-obligatory prayer, then say: Allahumma inni astakheeruka bi ‘ilmika wa astaqdiruka bi qudratika wa asaluka min fadlika, fa innaka taqdiru wa la aqdir, wa ta’lamu wa la a’lam, wa anta ‘allam al-ghuyoob. Allahumma fa in kunta ta'lamu hadhal-amra (then the matter should be mentioned by name) khayran li fi ‘ajil amri wa ajilihi (or: fi deeni wa ma’ashi wa ‘aqibati amri) faqdurhu li wa yassirhu li thumma barik li fihi. Allahumma wa in kunta ta'lamu annahu sharrun li fi deeni wa ma’ashi wa ‘aqibati amri (or: fi ‘ajili amri wa ajilihi) fasrifni ‘anhu [wasrifhu ‘anni] waqdur li al-khayr haythu kana thumma raddini bihi (O Allah, I seek Your guidance [in making a choice] by virtue of Your knowledge, and I seek ability by virtue of Your power, and I ask You of Your great bounty. You have power, I have none. And You know, I know not. You are the Knower of hidden things. O Allah, if in Your knowledge, this matter (then it should be mentioned by name) is good for me both in this world and in the Hereafter (or: in my religion, my livelihood and my affairs ), then ordain it for me, make it easy for me, and bless it for me. And if in Your knowledge it is bad for me and for my religion, my livelihood and my affairs (or: for me both in this world and the next), then turn me away from it, [and turn it away from me], and ordain for me the good wherever it may be and make me pleased with it.
(Reported by al-Bukhari, 6841; similar reports are also recorded by al-Tirmidhi, al-Nasai, Abu Dawood, Ibn Majah and Ahmad)
Commentary on the hadith of istikharah
Ibn Hajr (may Allah have mercy on him) said, commenting on this hadith:
“Istikharah is a word which means asking Allah to help one make a choice, meaning choosing the best of two things where one needs to choose one of them.
Concerning the phrase The Messenger of Allah (peace and blessings of Allah be upon him) used to teach us to make istikharah in all things, Ibn Abi Jamrah said: It is a general phrase which refers to something specific. With regard to matters that are wajib (obligatory) or mustahabb (liked or encouraged), there is no need for istikharah to decide whether to do them, and with regard to matters that are haram (forbidden) or makrooh (disliked), there is no need for istikharah to decide whether to avoid them. The issue of istikharah is confined to matters that are mubah (allowed), or in mustahabb matters when there is a decision to be made as to which one should be given priority. I say: it refers to both great and small matters, and probably an insignificant issue could form the groundwork for a big issue.
The phrase If any one of you is concerned appears in the version narrated by Ibn Mas’ud as: if any one of you wants to do something
Let him pray two rak’ahs of non-obligatory prayer. This is mentioned to make it clear that it does not mean Fajr prayer, for example. Al-Nawawi said in al-Adhkar: He can pray istikarah after two rak’ahs of regular sunnah prayer done at zhuhr for example, or after two rak’ahs of any nafl prayers whether they are regularly performed or not It seems to be the case that if he made the intention to pray istikharah at the same time as intending to pray that particular prayer, this is fine, but not if he did not have this intention.
Ibn Abi Jamrah said: The wisdom behind putting the salat before the du’a is that istikharah is intended to combine the goodness of this world with the goodness of the next. A person needs to knock at the door of the King (Allah), and there is nothing more effective for this than prayer, because it contains glorification and praise of Allah, and expresses one's need for Him at all times.
The phrase then let him say would seem to imply that the du’a should be said after finishing the prayer, and the word thumma (then) probably means after reciting all the words of the salat and before saying salam.
The phrase O Allah, I seek Your guidance by virtue of Your knowledge is explaining because You know best. Similarly, by virtue of Your power most likely means seeking Your help. I seek ability (astaqdiruka) means I ask You to give me the power or ability (qudrah) to do whatever is being asked for, or it probably means I ask You to decree (tuqaddir) this for me. So it may mean making it easy.
I ask You of Your great bounty refers to the fact that Allah gives out of His great generosity, but no one has the right to His blessings. This is the opinion of Ahl al-Sunnah.
You have power, I have none. And You know, I know not refers to the fact that power and knowledge belong to Allah alone, and the slave has no share of them except what Allah decrees for him.
O Allah, if in Your knowledge this matter, according to one report, he should mention it by name. It is apparent from the context that he should state it, but it is probably sufficient to be thinking of the matter whilst making this du’a.
Then ordain it for me means make it happen for me or it may mean make it easy for me.
Then turn it away from me, and turn me away from it means so that my heart will no longer feel attached to it after it has been turned away.
Make me pleased with it means make me content with it, so that I will never regret asking for it or be sorry that it happened, because I do not know how it will turn out, even if at the time of asking I am pleased with it.
The secret is that one’s heart should not be attached to the matter in question, because that will result in a person becoming restless. Being pleased with something means that one’s heart is content with the decree of Allah.” (Summarized from the commentary of al-Hafiz Ibn Hajar (may Allah have mercy on him) on the hadeeth in Saheeh al-Bukhari, Kitab al-Da’wat and Kitab al-Tawheed.)
And Allah knows best."
705,2218,https://islamqa.info/en/answers/2218,"A man doesn’t want to live with his wife but
    doesn’t want to divorce her for the sake of the children","Question

                A man has in the past had some major
      problem with his wife. Neither she, nor he want divorce as they have 3 children, yet he
      cannot live with her and has left the country. He would like to remarry in the new country
      of residence, but is afraid of the condition of equity of time between the two wives and
      that he will be called to account for it before Allah. His wife will not willingly
      relinquish her rights as she wants him to return to her, nor will she accept a second
      marriage... Is it halal for him to tell her that he will retain her as a wife only under
      the condition that she relinquish her rights to his time to a second wife? He does not
      want to oppress himself nor does he want to oppress her.. what are his options?",,"Praise be to Allah.If he has no interest in his present wife, there is nothing wrong with
    divorcing her and marrying another, but if he and she come to an agreement whereby she may
    remain his wife for the sake of the children, there is nothing wrong with this either. If
    he gives her the choice between divorce and giving up her rights to his time and his
    spending on her, in whole or in part, this is not oppression. Oppression is when he keeps
    her by force without giving her any of her rights whilst at the same time refusing to give
    her a divorce.
The evidence (daleel) that the situation described above is
    permissible is to be found in the hadeeth narrated by Imaam al-Bukhaari from
    ‘Aa’ishah (may Allah be pleased with her), which comments on the aayah
    (interpretation of the meaning): “And if a woman fears cruelty or desertion on her
    husband’s part…” [al-Nisaa’ 4:128]. She said: “This
    was a woman who was married to a man who did not care for her, so he wanted to divorce her
    and marry someone else. (According to another report narrated by al-Bukhaari she said: He
    was a man who saw something he disliked in his wife, so he wanted to divorce her.) She
    said to him: ‘Keep me, do not divorce me. Marry someone else and I will absolve you
    of your obligation to spend on me and share your time with me.’ This is what Allaah
    referred to when He revealed the aayah (interpretation of the meaning): ‘…
    there is no sin on them both if they make terms of peace between themselves; and making
    peace is better…’ [al-Nisaa’ 4:128].” (Reported by
    al-Bukhaari, 4807)
    “This was a woman who was married to a man who did not
    care for her” means that he did not love her or want to treat her well or stay with
    her. “I will absolve you of your obligation towards me” means: leave me without
    divorcing me. Concerning this issue, Allaah revealed the words (interpretation of the
    meaning): “And if a woman fears cruelty or desertion on her husband’s
    part…” [al-Nisaa’ 4:128]. ‘Ali reported that this was
    revealed concerning a woman who is married to a man and does not want to leave him, so
    they come to an agreement that he will visit her every three or four days.” 
Al-Tirmidhi reported via Sammaak from ‘Ikrimah from Ibn ‘Abbaas
    that he said: “Sawdah was afraid that the Messenger of Allaah 
 (peace and
    blessings of Allaah be upon him) would divorce her, so she said: ‘O Messenger of
    Allaah, do not divorce me; give my day to ‘Aa’ishah.’ So he did so. Then
    this aayah was revealed.” Al-Tirmidhi said: “(This is) hasan ghareeb.”
    I say: there is corroborating evidence in a hadeeth from ‘Aa’ishah narrated by
    al-Bukhaari and Muslim, without referring to the revelation of the aayah. (From Fath
    al-Baari).
The hadeeth mentioned by al-Haafiz ibn Hijr (may Allaah have mercy on him)
    is in Sunan al-Tirmidhi, 2966, where it is reported that Ibn ‘Abbaas said:
    “Sawdah was afraid that the Prophet 
 (peace and blessings of Allaah be upon him)
    would divorce her, so she said: ‘Do not divorce me. Keep me and give my day to
    ‘Aa’ishah.’ So he did so, then Allaah revealed the aayah: ‘…
    there is no sin on them both if they make terms of peace between themselves; and making
    peace is better…’ [al-Nisaa’ 4:128]. So whatever they agreed upon was
    permissible.” It is as if the last sentence was the comment of Ibn ‘Abbaas. Abu
    ‘Iesa said: this is a hasan ghareeb hadeeth.
Al-Mubaarakpoori said, commenting on this hadeeth:
‘Sawdah was afraid…’ This refers to Sawdah bint Zam’ah
    ibn Qays al-Qurashiyyah al-‘Aamiriyyah. The Messenger of Allaah 
 (peace and
    blessings of Allaah be upon him) married her in Makkah after Khadeejah had died, and
    consummated the marriage there. The scholars agree that he consummated his marriage to her
    before he consummated his marriage to ‘Aa’ishah, and she migrated to Madeenah
    with him. She died at the end of the khilaafah of ‘Umar ibn al-Khattaab.
‘…was afraid that the Prophet 
 (peace and blessings of
    Allaah be upon him) would divorce her, so she said…’ Al-Bukhaari and Muslim
    reported from ‘Aa’ishah that Sawdah bint Zam’ah gave her day to
    ‘Aa’ishah, so the Prophet 
 (peace and blessings of Allaah be upon him) used
    to give ‘Aa’ishah her own day and that of Sawdah. Al-Haafiz said in al-Fath:
    Abu Dawood reported this hadeeth (from ‘Aa’ishah): ‘The Messenger of Allaah
    
 (peace and blessings of Allaah be upon him) never used to prefer any of us over
    others in sharing his time (i.e., he was fair in dividing his nights among his wives, and
    each one of them had her allotted night). When Sawdah bint Zam’ah grew old and feared
    that the Messenger of Allaah 
 (peace and blessings of Allaah be upon him) might
    divorce her, she said: ‘O Messenger of Allaah, my day is for
    ‘Aa’ishah,’ and he accepted this from her. Then concerning this and similar
    cases, the aayah was revealed (interpretation of the meaning): ‘And if a woman fears
    cruelty or desertion on her husband’s part…’ [al-Nisaa’ 4:128]. These
    reports agree that she feared divorce and so gave her day to ‘Aa’ishah.
Then al-‘Allaamah al-Mubaraakpoori said: The aayah may be explained
    thus: ‘If a woman fears’ means if she expects. ‘Cruelty’ means
    that he spurns her by refusing to sleep with her or by spending less on her than he
    should, because he dislikes her and wants to marry someone more beautiful. ‘Desertion’
    means that he turns his face away from her. ‘There is no sin on them both if they
    make terms of peace between themselves’ means with regard to the sharing of his
    time and his spending on her, i.e., he should still give her something in this regard
    (sharing time or spending) in order to preserve the relationship: if she accepts, this is
    OK, otherwise the husband must either give her her full rights or divorce her. ‘Making
    peace is better’ means better than separation, cruelty and desertion. Whatever
    they agree upon between themselves is permissible.
(Tuhfat al-Ahwadi Sharh Jaami’ al-Tirmidhi).
And Allaah knows best, May Allaah bless our Prophet
    Muhammad."
706,2221,https://islamqa.info/en/answers/2221,"What is done between the engagement and the marriage contract, and the marriage contract
    and the wedding party","Question

                In Islamic Marriages, what symbols are used
      from the engagement period to the celebrations?
  And what is the significance of the rituals involved from engagement to
      celebration?",,"Praise be to Allah.The relationship of an engaged man with his fiancée is the same as a
    man’s relationship with any woman to whom he is not related: he is not allowed to
    enjoy any kind of physical relationship with her whatsoever, until the marriage contract
    with her has been completed.
If it is asked what kind of relationship the husband can have with his
    wife after the contract has been completed and before the wedding party, the answer is
    that he may enjoy a full husband-wife relationship, including looking at her, kissing her,
    being alone with her, travelling with her, having intercourse with her, etc. (al-Lajnah
    al-Daa’imah li’l-iftaa: Fataawa Islamiyyah, 3/154).
    For more information on the Sunnah (way of the Prophet
    
 (peace and blessings of Allaah be upon him) in weddings, and what is done during the
    celebrations, you can refer to the questions under the heading of Nikaah (marriage) in the
    Fiqh (Jurisprudence and Islamic rulings) section of this Website. If you have any further
    questions, please feel free to contact us again. And Allah is the source of strength."
707,2226,https://islamqa.info/en/answers/2226,Consolation for a mother whose son has passed away,"Question

                Asalamualaikum,
 My 17 year old son passed away last month. I would like to say some doas
  and prayers for him but do not know how. Do I say the doa in my daily prayers or just read
  the Quran as a gift for him? What I mean is how can I help him as a mother? My father also
  passed away quite some time now and what do I do to help him. I am so ignorant on this. I
  read that a child's prayer for his parents is good but what of a mother to the deceased
  child especially one who is not married and with no children to doa for him. 
Please enlighten me on this. Thank
  you and wassalam.",,"Praise be to Allah.How can your duaa (prayer, 
  supplication) not be answered and not be of benefit to your son, when the Prophet 
   (peace and blessings of Allaah be upon him) has 
  said: There are three duaas which will undoubtedly 
  be answered: the duaa of one who is oppressed, the duaa 
  of a traveller, and the duaa of a parent for his child? 
  (Reported by Ibn Maajah, 3852; see also Saheeh al-Jaami, 
  no. 3033). The word parent [waalid, lit. father] includes both 
  father and mother. You are his mother, who bore him, nursed him, fed him and 
  brought him up. You are more compassionate towards him than all his other relatives, 
  and you are the one who has suffered the most grief and distress because of 
  his loss. Pray for him for forgiveness, mercy, Paradise and salvation from the 
  Fire. Pray for him in your salaat and your sujood (prostration), in the last 
  third of the night and on Fridays before sunset, and at all other times and 
  in all other circumstances. 
Be of good cheer and remember the great reward which will be 
  yours if you bear this loss with patience, accept the will and decree of Allaah, 
  and hope for reward. You have lost your child to One Who is more compassionate 
  towards him than you, the Most Merciful, the Most Compassionate, Allaah, the 
  Lord of the Worlds. You also have the consolation of knowing that if you and 
  he die believing in Tawheed and in Islam, you will be reunited after death. 
  The righteous will be reunited with their offspring in Paradise, even if they 
  are of a lesser status than them. Allaah says (interpretation of the meaning): 
  And those who believe and whose offspring follow them in Faith, - 
  to them shall We join their offspring, and We shall not decrease the reward 
  of their deeds in anything. Every person is a pledge for that which he has earned. 
  [al-Toor 52:21]
As regards your question about what you can do for your father 
  and your son who have passed away, you will find a detailed and comprehensive 
  answer under # 763, which describes things which 
  the living can do for the benefit of the dead.
Finally, we console you with the words with which the Prophet 
   (peace and blessings of Allaah be upon him) consoled 
  a mother whose son had died:
To Allaah belongs whatever He takes and whatever He gives. Everything 
  has an appointed time with Him. Have patience and hope of a reward from Him. 
  (Reported by al-Bukhaari, no. 6829). May Allaah 
  bless our Prophet Muhammad."
708,2229,https://islamqa.info/en/answers/2229,Women praying Jumu’ah: two rak’ahs only,"Question

Is it permissible for women to pray the friday Zuhr prayer in the mosque that is only two rakat . When i was a child Iwas told that two rakat of Zuhr prayer on friday is only for men and women are supposed to pray on friday as any other day . Please guide me .",,"Praise be to Allah.Women do not have to pray Salaat al-Jumu’ah (Friday prayer). Ibn Qudaamah (may Allah have mercy on him) said: “As regards women, there is no difference (among the scholars) concerning the fact that Jumu’ah is not obligatory for them.”
(Al-Mughni ma’a al-Sharh al-Kabeer, 2/151). But if a woman prays Jumu’ah in the mosque, then she should pray two rak’ahs, just like the men. Ibn Hazm (may Allah have mercy on him) said: “Jumu’ah is not obligatory for one who is weak because of sickness or who has another valid excuse, or for women, but if any of these people attend Jumu’ah, they should pray two rak’ahs.” (al-Muhallaa, 5/81). So if a woman goes to the mosque and prays Jumu’ah, this is good enough, and she does not have to pray Zuhr too. And Allah knows best."
709,2237,https://islamqa.info/en/answers/2237,Reading Soorat Yaa-Seen in congregation on Friday nights,"Question

Is it forbidden in Islam to read the Sura Yaseen on Friday nights in a congregational manner in the mosque?",,"Praise be to Allah.Reading the Quran brings a great reward. Allah will multiply the reward for every letter of every aayah in any soorah that is read, as the Prophet (peace and blessings of Allah be upon him) said: “Whoever reads one letter of the Book of Allah will have one hasanah (reward) for doing so, and every hasanah will be multiplied by 10. I do not say that ‘Alif, laam, meem’ is one letter, but ‘Alif’ is a letter, ‘laam’ is a letter and ‘meem’ is a letter.’”
(Reported and classed as hasan by al-Tirmidhi, 2835).
He (peace and blessings of Allah be upon him) also said: “Read the Quran, for it will come on the Day of Resurrection interceding for its companions (i.e., those who read it)…”
(Reported by Muslim, 1337)
This reward will only be for the one who reads it sincerely, following the Sunnah. But the one who innovates in his readings (whether it be in the way he reads, the position he adopts when reading, the number of times he reads or the times when he reads) will not earn the reward, rather his deeds will be rejected and thrown back at him, because the Prophet (peace and blessings of Allah be upon him) said: “Whoever innovates something in this matter of ours (i.e., Islam) will have it rejected.” (Reported by Muslim, 3242). According to another report, he said: “Whoever does something that is not a part of this matter of ours, will have it rejected.” (Reported by Muslim, 3243)
Because a specific time – Friday night – is being allocated and the reading is being done in congregation although no saheeh evidence to that effect has been reported from the Prophet (peace and blessings of Allah be upon him), this action is bid’ah and is not prescribed or allowed by sharee’ah. It should therefore be avoided. We ask Allah to guide us all to the truth and help us to follow the Sunnah. May Allah bless our Prophet Muhammad."
710,2240,https://islamqa.info/en/answers/2240,Will Husband and Wife Be Together in Jannah?,"Question

 
Will a husband and wife be together in Jannah if Allah (swt) grants them the reward of paradise? How about other friends and family members from the dunya? Will one be together with them in Jannah if insh Allah they are granted Jannah by Allah ?","When a believer enters Paradise, if his wife was righteous then she will be his wife in Paradise too. Allah says: “And (Eden) Paradise, which they shall enter and (also) those who acted righteously from among their fathers, and their wives, and their offspring. And angels shall enter unto them from every gate…”","Praise be to Allah.When a believer enters Paradise, if his wife was righteous then she will be his wife in Paradise too . Allah says (interpretation of the meaning): “And (Eden) Paradise (everlasting Gardens), which they shall enter and (also) those who acted righteously from among their fathers, and their wives, and their offspring. And angels shall enter unto them from every gate…” [Al-Ra`d 13:23]
Imam Ibn Jarir At-Tabari (may Allah have mercy on him) said in Jami` Al-Bayan `an Ta’wil Ayi Al-Quran (16/423): 
“[In the phrase] those who acted righteously from among their fathers, and their wives, and their offspring, Allah, may He be Glorified, is saying that they will be admitted to Paradise those who He describes as those who (interpretations of the meanings) fulfil the Covenant of Allah, those who join that which Allah has commanded to be joined [i.e., upholding the ties of kinship] and fear their Lord, and who remain patient, seeking their Lord’s Countenance, [and] perform As-Salah – those who do the deeds mentioned in the three preceding ayat. Those who acted righteously from among their fathers, and their wives, and their offspring refers to their wives, their families and their offspring, and their `righteousness’ is their faith in Allah and their obedience to His commands and the commands of His Messenger (peace and blessings of Allah be upon him).”
They will be with their spouses, reclining in the shade of Paradise, filled with the deepest joy. Allah says (interpretation of the meanings):
“They and their wives will be in pleasant shade, reclining on thrones.” [Ya-Sin 36:56]
“Enter Paradise, you and your wives, in happiness.” [Az-Zukhruf 43:70]
Among the bountiful and abundant blessings that Allah bestows upon His creation is that if the believers’ offspring follow them in faith, they will be joined with their fathers in the same level of Paradise even if they themselves did not reach that level, so that their fathers may have the joy of seeing their offspring.
Allah says (interpretation of the meaning): 
“And those who believe and whose offspring follow them in Faith, - to them shall We join their offspring, and We shall not decrease the reward of their deeds in anything…” [At-Tur 52:21]
For more details, please refer to the following answers: 5981 ,  10144 , 140151 , 107781 , 96598 , and 1141 .
And Allah knows best."
